"actor_id","first_name","last_name","last_update"
"2","Nick","Wahlberg","26-May-2013 14:47:57"
"3","Ed","Chase","26-May-2013 14:47:57"
"4","Jennifer","Davis","26-May-2013 14:47:57"
"5","Johnny","Lollobrigida","26-May-2013 14:47:57"
"6","Bette","Nicholson","26-May-2013 14:47:57"
"7","Grace","Mostel","26-May-2013 14:47:57"
"8","Matthew","Johansson","26-May-2013 14:47:57"
"9","Joe","Swank","26-May-2013 14:47:57"
"10","Christian","Gable","26-May-2013 14:47:57"
"11","Zero","Cage","26-May-2013 14:47:57"
"12","Karl","Berry","26-May-2013 14:47:57"
"13","Uma","Wood","26-May-2013 14:47:57"
"14","Vivien","Bergen","26-May-2013 14:47:57"
"15","Cuba","Olivier","26-May-2013 14:47:57"
"16","Fred","Costner","26-May-2013 14:47:57"
"17","Helen","Voight","26-May-2013 14:47:57"
"18","Dan","Torn","26-May-2013 14:47:57"
"19","Bob","Fawcett","26-May-2013 14:47:57"
"20","Lucille","Tracy","26-May-2013 14:47:57"
"21","Kirsten","Paltrow","26-May-2013 14:47:57"
"22","Elvis","Marx","26-May-2013 14:47:57"
"23","Sandra","Kilmer","26-May-2013 14:47:57"
"24","Cameron","Streep","26-May-2013 14:47:57"
"25","Kevin","Bloom","26-May-2013 14:47:57"
"26","Rip","Crawford","26-May-2013 14:47:57"
"27","Julia","Mcqueen","26-May-2013 14:47:57"
"28","Woody","Hoffman","26-May-2013 14:47:57"
"29","Alec","Wayne","26-May-2013 14:47:57"
"30","Sandra","Peck","26-May-2013 14:47:57"
"31","Sissy","Sobieski","26-May-2013 14:47:57"
"32","Tim","Hackman","26-May-2013 14:47:57"
"33","Milla","Peck","26-May-2013 14:47:57"
"34","Audrey","Olivier","26-May-2013 14:47:57"
"35","Judy","Dean","26-May-2013 14:47:57"
"36","Burt","Dukakis","26-May-2013 14:47:57"
"37","Val","Bolger","26-May-2013 14:47:57"
"38","Tom","Mckellen","26-May-2013 14:47:57"
"39","Goldie","Brody","26-May-2013 14:47:57"
"40","Johnny","Cage","26-May-2013 14:47:57"
"41","Jodie","Degeneres","26-May-2013 14:47:57"
"42","Tom","Miranda","26-May-2013 14:47:57"
"43","Kirk","Jovovich","26-May-2013 14:47:57"
"44","Nick","Stallone","26-May-2013 14:47:57"
"45","Reese","Kilmer","26-May-2013 14:47:57"
"46","Parker","Goldberg","26-May-2013 14:47:57"
"47","Julia","Barrymore","26-May-2013 14:47:57"
"48","Frances","Day-Lewis","26-May-2013 14:47:57"
"49","Anne","Cronyn","26-May-2013 14:47:57"
"50","Natalie","Hopkins","26-May-2013 14:47:57"
"51","Gary","Phoenix","26-May-2013 14:47:57"
"52","Carmen","Hunt","26-May-2013 14:47:57"
"53","Mena","Temple","26-May-2013 14:47:57"
"54","Penelope","Pinkett","26-May-2013 14:47:57"
"55","Fay","Kilmer","26-May-2013 14:47:57"
"56","Dan","Harris","26-May-2013 14:47:57"
"57","Jude","Cruise","26-May-2013 14:47:57"
"58","Christian","Akroyd","26-May-2013 14:47:57"
"59","Dustin","Tautou","26-May-2013 14:47:57"
"60","Henry","Berry","26-May-2013 14:47:57"
"61","Christian","Neeson","26-May-2013 14:47:57"
"62","Jayne","Neeson","26-May-2013 14:47:57"
"63","Cameron","Wray","26-May-2013 14:47:57"
"64","Ray","Johansson","26-May-2013 14:47:57"
"65","Angela","Hudson","26-May-2013 14:47:57"
"66","Mary","Tandy","26-May-2013 14:47:57"
"67","Jessica","Bailey","26-May-2013 14:47:57"
"68","Rip","Winslet","26-May-2013 14:47:57"
"69","Kenneth","Paltrow","26-May-2013 14:47:57"
"70","Michelle","Mcconaughey","26-May-2013 14:47:57"
"71","Adam","Grant","26-May-2013 14:47:57"
"72","Sean","Williams","26-May-2013 14:47:57"
"73","Gary","Penn","26-May-2013 14:47:57"
"74","Milla","Keitel","26-May-2013 14:47:57"
"75","Burt","Posey","26-May-2013 14:47:57"
"76","Angelina","Astaire","26-May-2013 14:47:57"
"77","Cary","Mcconaughey","26-May-2013 14:47:57"
"78","Groucho","Sinatra","26-May-2013 14:47:57"
"79","Mae","Hoffman","26-May-2013 14:47:57"
"80","Ralph","Cruz","26-May-2013 14:47:57"
"81","Scarlett","Damon","26-May-2013 14:47:57"
"82","Woody","Jolie","26-May-2013 14:47:57"
"83","Ben","Willis","26-May-2013 14:47:57"
"84","James","Pitt","26-May-2013 14:47:57"
"85","Minnie","Zellweger","26-May-2013 14:47:57"
"143","River","Dean","26-May-2013 14:47:57"
"86","Greg","Chaplin","26-May-2013 14:47:57"
"87","Spencer","Peck","26-May-2013 14:47:57"
"88","Kenneth","Pesci","26-May-2013 14:47:57"
"89","Charlize","Dench","26-May-2013 14:47:57"
"90","Sean","Guiness","26-May-2013 14:47:57"
"91","Christopher","Berry","26-May-2013 14:47:57"
"92","Kirsten","Akroyd","26-May-2013 14:47:57"
"93","Ellen","Presley","26-May-2013 14:47:57"
"94","Kenneth","Torn","26-May-2013 14:47:57"
"95","Daryl","Wahlberg","26-May-2013 14:47:57"
"96","Gene","Willis","26-May-2013 14:47:57"
"97","Meg","Hawke","26-May-2013 14:47:57"
"98","Chris","Bridges","26-May-2013 14:47:57"
"99","Jim","Mostel","26-May-2013 14:47:57"
"100","Spencer","Depp","26-May-2013 14:47:57"
"101","Susan","Davis","26-May-2013 14:47:57"
"102","Walter","Torn","26-May-2013 14:47:57"
"103","Matthew","Leigh","26-May-2013 14:47:57"
"104","Penelope","Cronyn","26-May-2013 14:47:57"
"105","Sidney","Crowe","26-May-2013 14:47:57"
"106","Groucho","Dunst","26-May-2013 14:47:57"
"107","Gina","Degeneres","26-May-2013 14:47:57"
"108","Warren","Nolte","26-May-2013 14:47:57"
"109","Sylvester","Dern","26-May-2013 14:47:57"
"110","Susan","Davis","26-May-2013 14:47:57"
"111","Cameron","Zellweger","26-May-2013 14:47:57"
"112","Russell","Bacall","26-May-2013 14:47:57"
"113","Morgan","Hopkins","26-May-2013 14:47:57"
"114","Morgan","Mcdormand","26-May-2013 14:47:57"
"115","Harrison","Bale","26-May-2013 14:47:57"
"116","Dan","Streep","26-May-2013 14:47:57"
"117","Renee","Tracy","26-May-2013 14:47:57"
"118","Cuba","Allen","26-May-2013 14:47:57"
"119","Warren","Jackman","26-May-2013 14:47:57"
"120","Penelope","Monroe","26-May-2013 14:47:57"
"121","Liza","Bergman","26-May-2013 14:47:57"
"122","Salma","Nolte","26-May-2013 14:47:57"
"123","Julianne","Dench","26-May-2013 14:47:57"
"124","Scarlett","Bening","26-May-2013 14:47:57"
"125","Albert","Nolte","26-May-2013 14:47:57"
"126","Frances","Tomei","26-May-2013 14:47:57"
"127","Kevin","Garland","26-May-2013 14:47:57"
"128","Cate","Mcqueen","26-May-2013 14:47:57"
"129","Daryl","Crawford","26-May-2013 14:47:57"
"130","Greta","Keitel","26-May-2013 14:47:57"
"131","Jane","Jackman","26-May-2013 14:47:57"
"132","Adam","Hopper","26-May-2013 14:47:57"
"133","Richard","Penn","26-May-2013 14:47:57"
"134","Gene","Hopkins","26-May-2013 14:47:57"
"135","Rita","Reynolds","26-May-2013 14:47:57"
"136","Ed","Mansfield","26-May-2013 14:47:57"
"137","Morgan","Williams","26-May-2013 14:47:57"
"138","Lucille","Dee","26-May-2013 14:47:57"
"139","Ewan","Gooding","26-May-2013 14:47:57"
"140","Whoopi","Hurt","26-May-2013 14:47:57"
"141","Cate","Harris","26-May-2013 14:47:57"
"142","Jada","Ryder","26-May-2013 14:47:57"
"144","Angela","Witherspoon","26-May-2013 14:47:57"
"145","Kim","Allen","26-May-2013 14:47:57"
"146","Albert","Johansson","26-May-2013 14:47:57"
"147","Fay","Winslet","26-May-2013 14:47:57"
"148","Emily","Dee","26-May-2013 14:47:57"
"149","Russell","Temple","26-May-2013 14:47:57"
"150","Jayne","Nolte","26-May-2013 14:47:57"
"151","Geoffrey","Heston","26-May-2013 14:47:57"
"152","Ben","Harris","26-May-2013 14:47:57"
"153","Minnie","Kilmer","26-May-2013 14:47:57"
"154","Meryl","Gibson","26-May-2013 14:47:57"
"155","Ian","Tandy","26-May-2013 14:47:57"
"156","Fay","Wood","26-May-2013 14:47:57"
"157","Greta","Malden","26-May-2013 14:47:57"
"158","Vivien","Basinger","26-May-2013 14:47:57"
"159","Laura","Brody","26-May-2013 14:47:57"
"160","Chris","Depp","26-May-2013 14:47:57"
"161","Harvey","Hope","26-May-2013 14:47:57"
"162","Oprah","Kilmer","26-May-2013 14:47:57"
"163","Christopher","West","26-May-2013 14:47:57"
"164","Humphrey","Willis","26-May-2013 14:47:57"
"165","Al","Garland","26-May-2013 14:47:57"
"166","Nick","Degeneres","26-May-2013 14:47:57"
"167","Laurence","Bullock","26-May-2013 14:47:57"
"168","Will","Wilson","26-May-2013 14:47:57"
"169","Kenneth","Hoffman","26-May-2013 14:47:57"
"170","Mena","Hopper","26-May-2013 14:47:57"
"171","Olympia","Pfeiffer","26-May-2013 14:47:57"
"172","Groucho","Williams","26-May-2013 14:47:57"
"173","Alan","Dreyfuss","26-May-2013 14:47:57"
"174","Michael","Bening","26-May-2013 14:47:57"
"175","William","Hackman","26-May-2013 14:47:57"
"176","Jon","Chase","26-May-2013 14:47:57"
"177","Gene","Mckellen","26-May-2013 14:47:57"
"178","Lisa","Monroe","26-May-2013 14:47:57"
"179","Ed","Guiness","26-May-2013 14:47:57"
"180","Jeff","Silverstone","26-May-2013 14:47:57"
"181","Matthew","Carrey","26-May-2013 14:47:57"
"182","Debbie","Akroyd","26-May-2013 14:47:57"
"183","Russell","Close","26-May-2013 14:47:57"
"184","Humphrey","Garland","26-May-2013 14:47:57"
"185","Michael","Bolger","26-May-2013 14:47:57"
"186","Julia","Zellweger","26-May-2013 14:47:57"
"187","Renee","Ball","26-May-2013 14:47:57"
"188","Rock","Dukakis","26-May-2013 14:47:57"
"189","Cuba","Birch","26-May-2013 14:47:57"
"190","Audrey","Bailey","26-May-2013 14:47:57"
"191","Gregory","Gooding","26-May-2013 14:47:57"
"192","John","Suvari","26-May-2013 14:47:57"
"193","Burt","Temple","26-May-2013 14:47:57"
"194","Meryl","Allen","26-May-2013 14:47:57"
"195","Jayne","Silverstone","26-May-2013 14:47:57"
"196","Bela","Walken","26-May-2013 14:47:57"
"197","Reese","West","26-May-2013 14:47:57"
"198","Mary","Keitel","26-May-2013 14:47:57"
"199","Julia","Fawcett","26-May-2013 14:47:57"
"200","Thora","Temple","26-May-2013 14:47:57"
